kernel_id,arg_idx,array_name,data_type,dim,elem_size,size_x,size_y,size_z,d_m_x,d_m_y,d_m_z,d_p_x,d_p_y,d_p_z,stride_x,stride_y,stride_z,total_bytes,access_type
1,0,xx,int,1,4,110,1,1,-2,0,0,2,0,0,1,1,1,440,WRITE
2,0,yy,int,1,4,1,110,1,0,-2,0,0,2,0,1,1,1,440,WRITE
3,0,zz,int,1,4,1,1,110,0,0,-2,0,0,2,1,1,1,440,WRITE
4,0,vertexx,double,1,8,110,1,1,-2,0,0,2,0,0,1,1,1,880,WRITE
4,1,xx,int,1,4,110,1,1,-2,0,0,2,0,0,1,1,1,440,READ
4,2,vertexdx,double,1,8,110,1,1,-2,0,0,2,0,0,1,1,1,880,WRITE
5,0,vertexy,double,1,8,1,110,1,0,-2,0,0,2,0,1,1,1,880,WRITE
5,1,yy,int,1,4,1,110,1,0,-2,0,0,2,0,1,1,1,440,READ
5,2,vertexdy,double,1,8,1,110,1,0,-2,0,0,2,0,1,1,1,880,WRITE
6,0,vertexz,double,1,8,1,1,110,0,0,-2,0,0,2,1,1,1,880,WRITE
6,1,zz,int,1,4,1,1,110,0,0,-2,0,0,2,1,1,1,440,READ
6,2,vertexdz,double,1,8,1,1,110,0,0,-2,0,0,2,1,1,1,880,WRITE
7,0,vertexx,double,1,8,110,1,1,-2,0,0,2,0,0,1,1,1,880,READ
7,1,cellx,double,1,8,109,1,1,-2,0,0,2,0,0,1,1,1,872,WRITE
7,2,celldx,double,1,8,109,1,1,-2,0,0,2,0,0,1,1,1,872,WRITE
8,0,vertexy,double,1,8,1,110,1,0,-2,0,0,2,0,1,1,1,880,READ
8,1,celly,double,1,8,1,109,1,0,-2,0,0,2,0,1,1,1,872,WRITE
8,2,celldy,double,1,8,1,109,1,0,-2,0,0,2,0,1,1,1,872,WRITE
9,0,vertexz,double,1,8,1,1,110,0,0,-2,0,0,2,1,1,1,880,READ
9,1,cellz,double,1,8,1,1,109,0,0,-2,0,0,2,1,1,1,872,WRITE
9,2,celldz,double,1,8,1,1,109,0,0,-2,0,0,2,1,1,1,872,WRITE
10,0,volume,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
10,1,celldy,double,1,8,1,109,1,0,-2,0,0,2,0,1,1,1,872,READ
10,2,xarea,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
10,3,celldx,double,1,8,109,1,1,-2,0,0,2,0,0,1,1,1,872,READ
10,4,yarea,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
10,5,celldz,double,1,8,1,1,109,0,0,-2,0,0,2,1,1,1,872,READ
10,6,zarea,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
11,0,vertexx,double,1,8,110,1,1,-2,0,0,2,0,0,1,1,1,880,READ
11,1,vertexy,double,1,8,1,110,1,0,-2,0,0,2,0,1,1,1,880,READ
11,2,vertexz,double,1,8,1,1,110,0,0,-2,0,0,2,1,1,1,880,READ
11,3,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
11,4,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
11,5,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,WRITE
11,6,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,WRITE
11,7,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,WRITE
11,8,cellx,double,1,8,109,1,1,-2,0,0,2,0,0,1,1,1,872,READ
11,9,celly,double,1,8,1,109,1,0,-2,0,0,2,0,1,1,1,872,READ
11,10,cellz,double,1,8,1,1,109,0,0,-2,0,0,2,1,1,1,872,READ
12,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,READ
12,1,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,READ
12,2,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
12,3,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,WRITE
13,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
13,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
13,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
13,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
13,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
13,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
13,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
14,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
15,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
16,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
17,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
18,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
19,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
20,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
21,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
22,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
23,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,0,density0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,1,density1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,2,energy0,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,3,energy1,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,4,pressure,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,5,viscosity,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
24,6,soundspeed,double,1,8,109,109,109,-2,-2,-2,2,2,2,1,1,1,10360232,RW
25,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
25,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
26,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
26,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
27,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
27,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
28,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
28,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
29,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
29,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
30,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
30,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
31,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
31,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
32,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
32,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
33,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
33,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
34,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
34,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
35,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
35,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
36,0,xvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
36,1,xvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
37,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
37,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
38,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
38,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
39,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
39,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
40,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
40,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
41,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
41,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
42,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
42,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
43,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
43,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
44,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
44,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
45,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
45,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
46,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
46,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
47,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
47,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
48,0,yvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
48,1,yvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
49,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
49,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
50,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
50,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
51,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
51,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
52,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
52,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
53,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
53,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
54,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
54,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
55,0,zvel0,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
55,1,zvel1,double,1,8,110,110,110,-2,-2,-2,2,2,2,1,1,1,10648000,RW
